zip,type,primary_city,state,county,timezone,area_codes,latitude,longitude,irs_estimated_population
05836,STANDARD,East Hardwick,VT,Caledonia County,America/New_York,802,44.52,-72.3,970
05837,STANDARD,East Haven,VT,Essex County,America/New_York,,44.66,-71.81,280
05839,STANDARD,Glover,VT,Orleans County,America/New_York,802,44.7,-72.18,640
05841,STANDARD,Greensboro,VT,Orleans County,America/New_York,802,44.58,-72.28,310
05842,STANDARD,Greensboro Bend,VT,Orleans County,America/New_York,,44.54,-72.21,540
05843,STANDARD,Hardwick,VT,Caledonia County,America/New_York,802,44.5,-72.37,2340
05845,STANDARD,Irasburg,VT,Orleans County,America/New_York,802,44.81,-72.28,1090
05846,STANDARD,Island Pond,VT,Essex County,America/New_York,,44.81,-71.88,990
05847,STANDARD,Lowell,VT,Orleans County,America/New_York,802,44.8,-72.45,710
05850,STANDARD,Lyndon Center,VT,Caledonia County,America/New_York,802,44.54,-72.01,460
05851,STANDARD,Lyndonville,VT,Caledonia County,America/New_York,802,44.53,-72,4680
05853,STANDARD,Morgan,VT,Orleans County,America/New_York,802,44.89,-71.96,430
05855,STANDARD,Newport,VT,Orleans County,America/New_York,802,44.93,-72.2,5910
05857,STANDARD,Newport Center,VT,Orleans County,America/New_York,802,44.95,-72.3,1200
05858,STANDARD,North Concord,VT,Essex County,America/New_York,802,44.56,-71.77,230
05859,STANDARD,North Troy,VT,Orleans County,America/New_York,802,44.99,-72.4,1670
05860,STANDARD,Orleans,VT,Orleans County,America/New_York,802,44.81,-72.2,2270
05862,STANDARD,Peacham,VT,Caledonia County,America/New_York,802,44.33,-72.17,310
05866,STANDARD,Sheffield,VT,Caledonia County,America/New_York,802,44.6,-72.12,580
05867,STANDARD,Sutton,VT,Caledonia County,America/New_York,802,44.66,-72.03,640
05868,STANDARD,Troy,VT,Orleans County,America/New_York,802,44.9,-72.38,270
05871,STANDARD,West Burke,VT,Caledonia County,America/New_York,802,44.64,-71.98,1330
05872,STANDARD,West Charleston,VT,Orleans County,America/New_York,802,44.86,-72.05,650
05873,STANDARD,West Danville,VT,Caledonia County,America/New_York,802,44.46,-72.22,660
05874,STANDARD,Westfield,VT,Orleans County,America/New_York,802,44.88,-72.42,540
05875,STANDARD,Barton,VT,Orleans County,America/New_York,802,44.69,-72.26,470
05902,STANDARD,Beecher Falls,VT,Essex County,America/New_York,802,45.01,-71.49,226
05903,STANDARD,Canaan,VT,Essex County,America/New_York,802,45,-71.53,740
05904,STANDARD,Gilman,VT,Essex County,America/New_York,802,44.42,-71.71,220
05905,STANDARD,Guildhall,VT,Essex County,America/New_York,802,44.7,-71.68,590
05906,STANDARD,Lunenburg,VT,Essex County,America/New_York,802,44.47,-71.68,960
05907,STANDARD,Norton,VT,Essex County,America/New_York,802,45,-71.8,178
98001,STANDARD,Auburn,WA,King County,America/Los_Angeles,253,47.3,-122.26,33760
