ZipCode,City,State,HomeSale,HomeBaseValue,HomeMaxValue,MedianListPrice,MedianSoldPrice,Year
11096, Inwood, NY,25,450000,1400000,701900,0,2022
11101, Long Island City, NY,339,3200,3900000,900000,1500000,2022
11102, Astoria, NY,98,325000,29900000,698000,1000000,2022
11103, Astoria, NY,70,325000,5800000,821500,1100000,2022
11104, Sunnyside, NY,51,199000,2000000,405000,430000,2022
11105, Astoria, NY,62,178000,4500000,1400000,1300000,2022
11106, Astoria, NY,99,291000,4500000,634500,490000,2022
11109, Long Island City, NY,31,390000,3200000,660000,674500,2022
11201, Brooklyn, NY,386,5000,13800000,1500000,1100000,2022
11203, Brooklyn, NY,158,189000,2300000,655000,649000,2022
11204, Brooklyn, NY,133,247000,5300000,732000,990000,2022
11205, Brooklyn, NY,72,375000,22000000,995000,899000,2022
11206, Brooklyn, NY,58,400000,35000000,995000,615000,2022
11207, Brooklyn, NY,211,190000,11100000,629000,580000,2022
11208, Brooklyn, NY,163,142000,1700000,695000,623800,2022
11209, Brooklyn, NY,298,188000,5000000,495000,554500,2022
11210, Brooklyn, NY,149,199000,4000000,645000,948500,2022
11211, Brooklyn, NY,208,299000,30000000,1400000,1400000,2022
11212, Brooklyn, NY,78,165000,2000000,562500,825000,2022
11213, Brooklyn, NY,72,139900,3000000,725000,812500,2022
11214, Brooklyn, NY,275,199000,10800000,618000,485000,2022
11215, Brooklyn, NY,276,150000,12000000,1500000,1500000,2022
11216, Brooklyn, NY,108,325000,4600000,1200000,1400000,2022
11217, Brooklyn, NY,123,459000,8500000,1600000,1300000,2022
11218, Brooklyn, NY,156,225000,7000000,665000,875000,2022
11219, Brooklyn, NY,118,350000,7500000,668000,717500,2022
11220, Brooklyn, NY,164,275000,46700000,653100,547000,2022
11221, Brooklyn, NY,217,250000,5000000,964000,797000,2022
11222, Brooklyn, NY,133,549000,12800000,1300000,1300000,2022
11223, Brooklyn, NY,198,214000,13300000,700000,432500,2022
11224, Brooklyn, NY,165,239000,3800000,544000,625000,2022
11225, Brooklyn, NY,85,160000,3800000,867500,745000,2022
11226, Brooklyn, NY,183,180000,55000000,599500,775000,2022
11228, Brooklyn, NY,161,329000,6500000,1100000,990000,2022
11229, Brooklyn, NY,264,125000,3500000,525000,640000,2022
11230, Brooklyn, NY,230,130000,5000000,500000,500000,2022
11231, Brooklyn, NY,119,650000,18000000,2000000,1900000,2022
11232, Brooklyn, NY,59,315000,4000000,668000,600000,2022
11233, Brooklyn, NY,156,250000,5500000,899000,742000,2022
11234, Brooklyn, NY,380,150000,5000000,749000,685000,2022
11235, Brooklyn, NY,422,140000,6000000,588000,405000,2022
11236, Brooklyn, NY,208,175000,1900000,619000,647500,2022
11237, Brooklyn, NY,50,550000,4300000,1100000,1200000,2022
11238, Brooklyn, NY,165,398000,7700000,1400000,1200000,2022
11239, Brooklyn, NY,6,518000,849000,518000,0,2022
11243, Brooklyn, NY,3,1000000,1900000,1500000,0,2022
11249, Brooklyn, NY,86,650000,18000000,1500000,1400000,2022
11354, Flushing, NY,331,190000,29900000,478900,650000,2022
11355, Flushing, NY,324,210000,8500000,679500,910000,2022
11356, College Point, NY,117,139000,3600000,799900,767500,2022
11357, Whitestone, NY,230,190000,5400000,999000,691300,2022
11358, Flushing, NY,130,210000,3000000,993000,975000,2022
11360, Bayside, NY,194,205500,5700000,499000,575000,2022
11361, Bayside, NY,106,175000,4700000,899000,950000,2022
11362, Little Neck, NY,127,165000,2900000,435000,380000,2022
11363, Little Neck, NY,39,175000,5700000,1200000,920000,2022
11364, Oakland Gardens, NY,176,119900,2200000,393500,559000,2022
11365, Fresh Meadows, NY,98,215000,3300000,998900,1000000,2022
11366, Fresh Meadows, NY,35,580000,3400000,1100000,930000,2022
11367, Flushing, NY,179,129000,2400000,598900,620000,2022
11368, Corona, NY,180,108000,5500000,424000,334000,2022
11369, East Elmhurst, NY,130,199900,2200000,699000,876500,2022
11370, East Elmhurst, NY,68,246000,3700000,699000,682500,2022
11372, Jackson Heights, NY,328,175000,3500000,410000,407500,2022
11373, Elmhurst, NY,208,69000,12500000,447500,363000,2022
11374, Rego Park, NY,265,178000,8900000,425000,395000,2022
11375, Forest Hills, NY,536,125000,4000000,429000,365000,2022
11377, Woodside, NY,218,1700,3200000,425000,642000,2022
11378, Maspeth, NY,83,249900,2900000,769000,780000,2022
11379, Middle Village, NY,116,239000,3000000,849000,868000,2022
11385, Ridgewood, NY,191,375000,3000000,828000,825000,2022
11411, Cambria Heights, NY,53,275000,1200000,639000,667000,2022
11412, Saint Albans, NY,132,219000,1400000,650000,680200,2022
11413, Springfield Gardens, NY,135,269000,1900000,670000,660000,2022
11414, Howard Beach, NY,157,117700,2500000,429900,370000,2022
